先進材料 物理冶金,企業實習 基礎課程:材料熱力學、材料電化學、材料物理化學、材料 動力學 材料性質:材料機械性質、金屬疲勞 新興材料: 矽晶材料及其應用、奈米材料與奈米結構、半導 體晶圓鍵合科學與技術
先進材料 先進材料 製程,企業實習 機械製造: 鑄造工程、放電加工、金屬熱處理、雷射加工與 材料處理、實驗設計與分析、智慧製造技術、工業機器人 原理與自動化應用 半導體製程: 半導體與微奈米設備及製程整合 電腦輔助製造:電腦輔助設計與製造整合
