組訂 必修,普通化學(必選) EG1003,3,,,,,,,
,先進材料 ME3048,,,,3,,,,
,材料實驗 ME3095,,,,1,,,,
,熱流實驗 ME3102,,,,,1,,,
,熱傳學 ME3072,,,,,3,,,
,先進材料製程 ME4096,,,,,,3,,
,物理冶金 ME3046,,,,,,3,,
,製造工程實習 II ME1042,,1,,,,,,
備註,一、共同必修 1 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2 ＊本系外文課程可自下列任選一種修課方式： (1) 修讀「大一英文」工程課群6學分。 (2) 修讀英文系開設之其他英文課程，通過且取得6學分。 (3) 修讀語言中心開設或認定之第二外語課程，但同一外語課程必須修讀並通過取得6學分。 ＊選修「進修英文」取得之學分，不列入本系之畢業學分總數。 3 通識核心必修四大領域中至少須修習一個領域。 二、院、系、組訂必修 1 必選科目成績不及格之科目學分，不列入取得之學分總數。 2 大一必選「普通化學」3學分，列本系選修科目。 3 畢業標準：最低畢業總學分為134，必修科目101學分（包括共同必修與院、系、組訂必修），同時必須 滿足下列各類別之最低學分要求： (1) 本系領域科目：由本系課程地圖中之八大【領域課程】（如附表）任選一領域修讀。 ①選擇「光機設計」、「機電控制」、「先進材料」、「精密製造」、「熱流與能源工程」、「應用 力學與設計」中任一領域15學分。所選讀【領域課程】中之「必修課程」若為本組之【組訂必修科 目】，則不計為前述【領域課程】之學分。 例: 若在【領域課程】中選『精密製造』，則須修讀【領域課程】中的「選修科目」15學分。 若在【領域課程】中選『光機設計』，則須修讀【領域課程】中的二門「必修科目」及其他「選 修科目」，合計至少15學分。其餘依此類推。 ②選擇「跨域專長」領域者，必須修習本校非機械相關系所之同一輔系、第二專長或學分學程之課程 最低15學分，始可採計為「跨域專長」領域學分。但與本系必修科目性質相同之課程不可列入，已列 入「跨域專長」領域課程之學分不得於【通識課程】、【本系選修科目】或【其他選修科目】中重複 計算，如有爭議，由本系課程委員會認定之。 ③選擇「自主學習」領域者，必須至少修習該領域13學分，包含「自主學習專題」4學分以及「領域 選修」9學分。由本系課程地圖中之「主題式課群」（如附表）任選一「主題式課群」修讀通過。 (2) 本系選修科目：必須至少修習本系(包含光機電所、能源所及材料所)選修科目9學分。 (3) 其他選修科目：不包括通識及進修英文課程。 ①選擇「光機設計」、「機電控制」、「先進材料」、「精密製造」、「熱流與能源工程」、「應用 力學與設計」、「跨域專長」中任一領域者，必須至少修習【其他選修科目】9學分。 ②選擇「自主學習」領域者，必須至少修習【其他選修科目】11學分。 必修課程名稱凡具有 “II” 者必須先修 “I”（40分以上）後方可修習，機械製圖ME2038須先修機械製 4 圖ME2037 (40分以上)。 三、雙主修規定：依本校「學生修讀雙主修辦法」辦理。,,,,,,,,
